# AGI CORPUS MANIFEST -- generated by harness/tools/game_manifest.py
# ★ MANIFEST ONLY. No game data is in this repository and none ever may be (§2P).
# Sizes are the ARCHIVE's own uncompressed figures, not our decode (§2O.1, §12).
# 'version' is by archive SHAPE; v3-shaped is a signal, not a decode.
# log/pic/view/snd slots are DERIVED as dirlen/3 and are an UPPER BOUND (unused
# slots are 0xFFFFFF and still occupy 3 bytes). Slots are not live resources.
#
name	sha256	version	zip_bytes	total_uncompressed	game_bytes	overlay_bytes	vol_bytes	dir_bytes	vols	members	log_slots	pic_slots	view_slots	snd_slots
pharq	3d37e58b7e0ffef571549cbcf42111a260c47bc2c7ba1da8e586181bc0826108	v2	45989	100240	92048	8192	89252	1116	1	8	100	16	251	5
philq	facd82eab66ede4cd24c7df6f5242b4109c556788bbc44912bea670a6b72fd03	v2	169552	751104	751104	0	746690	2295	1	7	256	256	225	28
piano	e0285657e5907b5b0e8ffbab274ecac9f6e233b42edecb421e796b6dff78d57f	v2	8405	13744	13744	0	12772	360	1	7	100	3	9	8
pinkun	8951b9c423d8aa51a9572a1906f99b0f8dcef007df47934a984e6ad341b4437c	v2	18303	53414	45222	8192	43486	972	1	8	100	3	221	0
piratq	2d803ec5d294ff833afb23322fa49c8786225a1e3b094f3d499a722a34db68c9	v2	24376	33980	33980	0	32235	900	1	7	100	6	194	0
pktetr	d2f8245d58527cdc27c0133d10fb17dce4221d46e41a06463c67c35fc055a8cf	v2	9166	17167	8975	8192	8100	321	1	8	99	3	5	0
pothdq	dcbc29f043daf2a03849c6066727317ff00cedc310a47a37b3798b687c4546a1	v2	66126	148965	140773	8192	136270	2250	1	8	255	255	235	5
presq	14c0e9555bd57ed13f9b8b09a15eb874560aefbd39f0d5f3939fca0c74026d3a	v2	52369	400170	391978	8192	390207	984	1	8	100	5	221	2
prince	4b66361b74268d1feae6cb9f22501d9c1e17bfd8878d1f2979b9e7be8fd3fa5b	v2	55055	270601	270601	0	267663	1983	1	7	201	201	256	3
profen	0e6b2838d16882b099fb9062026751474f0c4419cd79907467238c6920101faf	v2	32517	55480	47288	8192	44724	1365	1	8	222	9	224	0
qfg6	f2bb34956775c2ca77c8e1800df8e384d4f19fcc39c61bbc8793dab4c7f6a8a6	v2	58496	374927	374927	0	372089	2214	1	7	256	256	221	5
qfhome	36160d36553075e908430be4d9bfdc23b770968bb2335e82ee2a6e541ea49281	v2	22484	46852	38660	8192	37744	354	1	8	100	7	11	0
qlady	0379916c704e7f04a069ba74d2f43f6428add60e5042392b1b6b9eb11a35a92d	v2	30852	58433	50241	8192	48111	1119	1	8	100	52	221	0
qrdeal	8fdb56fa3d72c0e8fbf2fbd3dcb6bf9113ba7982f8f068330b490b157105c3a1	v2	38948	64251	56059	8192	53776	996	1	8	100	11	221	0
ralphq	12a8f25dddb0d49f7dad04a2a72bb8d67f006e82f78ae89fb9c7b57596996f2a	v2	27178	151930	151930	0	150021	1203	1	7	100	80	221	0
resi44	fd07849d0ec778d7ca6f4a3b936dd59d1cc97dbb8df75658d770f7b9b1970e2f	v2	114993	303036	294844	8192	288859	2598	1	8	255	255	238	118
ruby	e25b0c6affde496ee3b9118cf3b31a43d72af22ebe9b1a22eecbf1e191cd4497	v2	53580	89370	89370	0	86022	1911	1	7	203	202	225	7
sarien	bead2b13d85f3c0e4f07327f70a0a9cbc888a066ec019fc1c8c689224c1e1eab	v2	11886	27608	27608	0	27201	327	1	7	99	2	7	1
savsan	0a0ae8ade68f6affb8590037809da89bbe97392f231e74f362441ba5af01b159	v2	96424	189727	181535	8192	175126	1218	1	8	100	61	226	19
schill	d15309f169dddd1deaa70fe08d22bb9e4bc07fbad94857ec461c9ac8adbbd1c0	v2	67153	120407	120407	0	115627	420	1	7	99	22	19	0
sergd1	f72014b09c48fe8db7bb8dc655c958be4a9804b616d8dbc71c3b6d154e3be9f2	v2	118665	224608	216416	8192	211301	2034	1	15	223	223	229	3
sergd2	ab043c7230ca18b010aef4b02be2679b0b4864bee0112d0ad5a3e2bc73e4bb32	v2	46418	103346	95154	8192	92336	2220	1	8	256	254	224	6
shifty	e789b7926938ea786e011ae9ac3edffa1b019fa811b87878c25e041434c535ba	v2	134507	222519	222519	0	216860	1200	1	7	101	60	226	13
shwpln	e0768a815f55c4b2f00dd9a958698f8ff010fe2388c51f1b403b96e873061fdc	v2	66429	96859	96859	0	94592	1047	1	7	100	24	223	2
snwbrd	207eef54b9abb5fda62730e26cb474210f85f7f0d1206ef938e2b41ee037a7ea	v2	11255	21895	13703	8192	12015	972	1	8	100	3	221	0
solsys	ab289b643d111ff2252719652b48a3aece75b51d9d078a6a78492118825b312c	v2	23637	47866	39674	8192	37897	1050	1	8	100	28	220	2
sorapp	2b28d9f7b9d59694f00f9651111d86d1544f51227c4995462e10adc5bad35dcb	v2	147055	817806	809614	8192	805888	1791	1	8	101	256	237	3
spbike	5efe97cbb4dd77b106377139ec4ad066a47476624ea073d1107a02df18385fc1	v2	44163	491271	483079	8192	481305	1224	1	8	100	62	221	25
spcdlv	ad417c2fb3efd745e28b8eba78853ee55ba073ff7a98bf30ce9f55d44388ece5	v2	57869	175898	167706	8192	165188	1101	1	8	100	29	231	7
sq0	b6aa239b189f56f7c8d687ca30de2e64c8e7f1e4dcdb79a96b31e5afd9963f49	v2	507959	1056822	1056822	0	1041142	2601	1	7	254	256	256	101
sqx	f10d4ad3cef0d33c39b319e8128dc330602901c987d2fd50cf6b1bcc2c172f56	v2	842408	1647807	1639615	8192	1632825	2514	2	9	256	256	256	70
starco	a917a88eef1b6cb854f62a60723c91135633ea87639cdd4bb9f15079d6f55e05	v2	560405	1634038	1625846	8192	1618347	2358	2	9	256	256	256	18
starpi	953cfa26f27df14a4e58e2ef01e7e715ac0249ceb8a190c03c93cb307dc3ecd8	v2	93302	525657	525657	0	521777	1395	1	7	105	103	256	1
stileg	1c05ec4a148c7953fb0160c1198d4cbf87d385771da477c6336fbb4756746481	v2	14655	31387	23195	8192	22321	324	1	8	102	3	1	2
street	4ac2a1f169807808ce8d8322416edd90ffb4200a261d6cb795575b68be1a10fb	v2	71647	356543	348351	8192	345853	1014	1	10	100	12	223	3
strek	9b94e8c06e994a0c38fffd8984a27ac68bd4e8f795820f276d377b58e4a27cd6	v2	51451	126865	126865	0	123924	1677	1	7	256	256	42	5
tetris	ebbc456ea7da6ef899e16aa3121f1275bb441b34fe546fd3e5d512d1a3bc3660	v2	37109	51053	42861	8192	41816	495	1	8	100	60	2	3
texm1	b7cfe9b6f2dfb94d0490baac3ee98f42210d6f0a0f9ba1df7b4395144a953dda	v2	59451	106584	106584	0	102828	1785	1	7	100	256	235	4
texm2	d7f33a7a60c7b7436d3e77fac0f65697ad1c0dd84cf29bed486a03c972c50e4a	v2	205856	332581	332581	0	325186	2310	1	7	254	256	255	5
texm3	80596a1f6b387c2180aae4a0fe9aa02faa73cefd911c207d139e87a53d5b4c98	v2	111053	209092	209092	0	201143	2190	1	7	256	256	210	8
tnaorw	b6be324f525141b47dc2886f2859ab2a4b2c182e76ebabd51641c93a144c8c70	v2	29469	89109	80917	8192	77732	2478	1	8	251	251	255	69
tobywd	7dfd441e6700b643912c523536274bf92a1b9b1ffdc46b3c8f57049812e1eccc	v2	68718	177969	177969	0	174347	3072	1	7	256	256	256	256
totiki	3431111ba775c00590e99682cf5a6824452429fdd5a8254dd230ab66366186a8	v2	137719	543907	535715	8192	531401	2502	1	8	205	205	223	201
trek	e065b3536e34338b9264c286f304a315562e7b8e4a397c1ddc64438fe6f29136	v2	15709	68335	60655	7680	59004	978	1	8	100	5	221	0
ttscb	c61d5167479da23d789068af2ad51eed31e861d226e891495a9ac0edd4b3e1d5	v2	327552	628097	628097	0	617087	2280	1	7	254	256	245	5
turksq	94bf80dd036e757d94ab3837287d7a13dc47c7d020aa64aedaf937a53566cf22	v2	178310	319392	319392	0	313808	1383	1	7	100	77	218	66
uagifg	beff658e3e5244907cf266488f2d8ffcc345191072f8a89a74faa809da15ac14	v2	125233	239760	231568	8192	225580	1035	1	8	100	13	232	0
uriq	73e9152fc44eab2d7c8794ac9288dc5d97bf013219a625795ddbbbadd6988e86	v2	335291	683766	683766	0	676230	2169	1	7	220	220	255	28
vdgirl	a7674e56d0321a41382ee0a4cf0def98d276ee42b64a45fb6dc5bc1e4f3bce02	v2	202061	387510	379318	8192	372585	2391	1	8	206	142	221	228
vtgadv	d7804efe8568b032434082a1c876bc033e526af3f351e49d3c4ebf1d89ca176c	v3-shaped	727492	1955080	1947592	7488	1938203	3080	2	6				
wizaro	86f6e9b0909bdcb7f376f255bc84ec61b4369cd485b1c4018ce0bf881a576785	v2	31830	57690	49498	8192	46417	2217	1	8	256	256	224	3
xmas	6061a32bddf220f29577a691f4b03c0f02e6513590176154d5b6b1e91079330a	v2	82837	188468	181812	6656	179887	1647	1	8	124	105	254	66
